N,unknowns,time_ms,mem_MB,errL2,errMax
32,1024,2.63043,1.125,4.3824e-05,0.000106171
64,4096,12.0778,4.20312,1.11602e-05,2.75035e-05
128,16384,55.0496,18.707,2.81398e-06,6.99522e-06
256,65536,321.059,86.1641,7.06381e-07,1.76286e-06
512,262144,1967.25,402.434,1.76948e-07,4.42463e-07
32,1024,2.43947,1.25,4.3824e-05,0.000106171
64,4096,10.0173,4.20703,1.11602e-05,2.75035e-05
128,16384,50.2452,18.707,2.81398e-06,6.99522e-06
256,65536,293.783,86.1641,7.06381e-07,1.76286e-06
512,262144,1846.07,402.434,1.76948e-07,4.42463e-07
32,1024,2.698,1.25,4.3824e-05,0.000106171
64,4096,9.79264,4.20312,1.11602e-05,2.75035e-05
128,16384,49.3975,18.707,2.81398e-06,6.99522e-06
256,65536,285.17,86.1641,7.06381e-07,1.76286e-06
512,262144,1822.67,402.434,1.76948e-07,4.42463e-07
32,1024,3.23763,1.25,4.3824e-05,0.000106171
64,4096,13.5344,4.20312,1.11602e-05,2.75035e-05
128,16384,59.3394,18.707,2.81398e-06,6.99522e-06
256,65536,335.458,86.1641,7.06381e-07,1.76286e-06
512,262144,2003.7,402.293,1.76948e-07,4.42463e-07
32,1024,2.81295,1.25,4.3824e-05,0.000106171
64,4096,10.601,4.20703,1.11602e-05,2.75035e-05
128,16384,53.7894,18.6055,2.81398e-06,6.99522e-06
256,65536,339.279,86.2891,7.06381e-07,1.76286e-06
512,262144,2135.27,402.395,1.76948e-07,4.42463e-07
1024,1048576,13849,1759.48,4.42792e-08,1.10832e-07
16,256,0.823045,0.5,0.000168074,0.00039455
32,1024,2.68034,1.25,4.3824e-05,0.000106171
64,4096,11.9169,4.20703,1.11602e-05,2.75035e-05
128,16384,65.5915,18.707,2.81398e-06,6.99522e-06
256,65536,352.161,86.1641,7.06381e-07,1.76286e-06
512,262144,2418.4,402.422,1.76948e-07,4.42463e-07
1024,1048576,15072.8,1759.6,4.42792e-08,1.10832e-07
2048,4194304,88832.6,8062.3,1.10403e-08,2.76716e-08
16,256,0.810451,0.5,0.000168074,0.00039455
32,1024,2.4767,1.25,4.3824e-05,0.000106171
64,4096,11.0527,4.20703,1.11602e-05,2.75035e-05
128,16384,54.7497,18.668,2.81398e-06,6.99522e-06
256,65536,320.567,86.0898,7.06381e-07,1.76286e-06
512,262144,2101.8,402.406,1.76948e-07,4.42463e-07
1024,1048576,13914.7,1759.52,4.42792e-08,1.10832e-07
16,256,1.35874,0.625,0.000168074,0.00039455
32,1024,4.66291,1.25,4.3824e-05,0.000106171
64,4096,31.4148,4.20312,1.11602e-05,2.75035e-05
128,16384,87.4008,18.707,2.81398e-06,6.99522e-06
256,65536,461.59,86.0742,7.06381e-07,1.76286e-06
512,262144,2632.78,402.324,1.76948e-07,4.42463e-07
1024,1048576,15944.5,1759.53,4.42792e-08,1.10832e-07
2048,4194304,86143.7,8062.34,1.10403e-08,2.76716e-08
