N,unknowns,time_ms,mem_MB,errL2,errMax
32,1024,19.5204,0.558948,4.38239727e-05,1.06170677e-04
64,4096,65.7721,2.290080,1.11601670e-05,2.75035074e-05
128,16384,271.8946,9.245486,2.81398256e-06,6.99522088e-06
256,65536,1148.2625,37.124698,7.06380680e-07,1.76286406e-06
512,262144,5156.7770,148.749775,1.76950498e-07,4.42468312e-07
32,1024,18.8032,0.559031,4.38239727e-05,1.06170677e-04
64,4096,64.3456,2.290080,1.11601670e-05,2.75035074e-05
128,16384,263.9139,9.245547,2.81398256e-06,6.99522088e-06
256,65536,1152.7245,37.124698,7.06380680e-07,1.76286406e-06
512,262144,5140.7011,148.749775,1.76950498e-07,4.42468312e-07
32,1024,18.4214,0.558970,4.38239727e-05,1.06170677e-04
64,4096,63.6881,2.290080,1.11601670e-05,2.75035074e-05
128,16384,268.9800,9.245486,2.81398256e-06,6.99522088e-06
256,65536,1138.6110,37.124759,7.06380680e-07,1.76286406e-06
512,262144,5484.7657,148.749836,1.76950498e-07,4.42468312e-07
32,1024,18.8712,0.558970,4.38239727e-05,1.06170677e-04
64,4096,66.9584,2.290088,1.11601670e-05,2.75035074e-05
128,16384,272.6725,9.245547,2.81398256e-06,6.99522088e-06
256,65536,1140.2447,37.124748,7.06380680e-07,1.76286406e-06
512,262144,5707.9365,148.749724,1.76950498e-07,4.42468312e-07
32,1024,19.3359,0.559031,4.38239727e-05,1.06170677e-04
64,4096,65.0712,2.290141,1.11601670e-05,2.75035074e-05
128,16384,266.6689,9.245517,2.81398256e-06,6.99522088e-06
256,65536,1189.9165,37.124748,7.06380680e-07,1.76286406e-06
512,262144,5554.7907,148.749775,1.76950498e-07,4.42468312e-07
1024,1048576,28063.7983,595.499825,4.42788571e-08,1.10831557e-07
16,256,10.3736,0.130753,1.68074168e-04,3.94550232e-04
32,1024,19.8062,0.559031,4.38239727e-05,1.06170677e-04
64,4096,68.4466,2.290111,1.11601670e-05,2.75035074e-05
128,16384,283.5373,9.245547,2.81398256e-06,6.99522088e-06
256,65536,1267.2156,37.124756,7.06380680e-07,1.76286406e-06
512,262144,5222.6160,148.749783,1.76950498e-07,4.42468312e-07
1024,1048576,26825.7151,595.499878,4.42788571e-08,1.10831557e-07
16,256,6.7641,0.130783,1.68074168e-04,3.94550232e-04
32,1024,18.2139,0.558970,4.38239727e-05,1.06170677e-04
64,4096,63.9010,2.290080,1.11601670e-05,2.75035074e-05
128,16384,271.1700,9.245547,2.81398256e-06,6.99522088e-06
256,65536,1187.9471,37.124748,7.06380680e-07,1.76286406e-06
512,262144,5425.3757,148.749752,1.76950498e-07,4.42468312e-07
1024,1048576,26877.8169,595.499804,4.42788571e-08,1.10831557e-07
16,256,7.1782,0.130669,1.68074168e-04,3.94550232e-04
32,1024,19.0449,0.559001,4.38239727e-05,1.06170677e-04
64,4096,72.9060,2.290141,1.11601670e-05,2.75035074e-05
128,16384,287.8839,9.245486,2.81398256e-06,6.99522088e-06
256,65536,1152.1738,37.124748,7.06380680e-07,1.76286406e-06
512,262144,5529.3884,148.749724,1.76950498e-07,4.42468312e-07
1024,1048576,26408.8681,595.499878,4.42788571e-08,1.10831557e-07
16,256,7.1463,0.130783,1.68074168e-04,3.94550232e-04
32,1024,18.8192,0.558970,4.38239727e-05,1.06170677e-04
64,4096,66.2753,2.290111,1.11601670e-05,2.75035074e-05
128,16384,277.4451,9.245430,2.81398256e-06,6.99522088e-06
256,65536,1134.5773,37.124809,7.06380680e-07,1.76286406e-06
512,262144,5223.7766,148.749775,1.76950498e-07,4.42468312e-07
1024,1048576,26660.6927,595.499827,4.42788571e-08,1.10831557e-07
32,1024,78.4688,0.574407,4.38239727e-05,1.06170677e-04
64,4096,351.1323,2.363742,1.11601670e-05,2.75035074e-05
128,16384,1333.5591,9.552878,2.81398256e-06,6.99522088e-06
256,65536,6031.1421,38.367404,7.06380680e-07,1.76286406e-06
